Sistema,Remitente,Identificador,2025-09-11,2025-09-10,2025-09-09,2025-09-08,2025-09-07,2025-09-06,2025-09-05,2025-09-04,2025-09-03,2025-09-02,2025-09-01,2025-08-31,2025-08-30,2025-08-29,2025-08-28,2025-08-27,2025-08-26,2025-08-25,2025-08-24,2025-08-23,2025-08-22,2025-08-21,2025-08-20,2025-08-19,2025-08-18
Ceres : La Solana,emailrelay@konectgds.com,CERES_100m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chbika,emailrelay@konectgds.com,CR300 Chbika,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1
Chbika Lidar,emailrelay@konectgds.com,CR300 Chbika,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1
Chbika Solar,emailrelay@konectgds.com,CHBIKA Solar,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
Chbika TM,emailrelay@konectgds.com,CHBIKA Mast,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
Contilly,windcubeinsights@vaisala.info,WLS71777,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Czempin,windcubeinsights@vaisala.info,WLS72112,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Emsbueren,windcubeinsights@vaisala.info,WLS72103,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eolo Austral 1: mag 2,emailrelay@konectgds.com,Eolo_Austral-1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ERAL-A,windcubeinsights@vaisala.info,WLS72030,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ERO_1D,windcubeinsights@vaisala.info,WLS71514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESM1,emailrelay@konectgds.com,ESM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESM2,emailrelay@konectgds.com,ESM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA2-B,windcubeinsights@vaisala.info,WLS72026,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fortmülher,windcubeinsights@vaisala.info,WLS72101,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ILLA-A,windcubeinsights@vaisala.info,WLS72027,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kavelstorf,windcubeinsights@vaisala.info,WLS71626,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laayoune,emailrelay@konectgds.com,Laayoune,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lagunillas,estaciones.meteo@dekra-industrial.es,LIDAR Lagunillas,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lagunillas_2,windcubeinsights@vaisala.info ,WLS71325 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libeccio,estaciones.meteo@dekra-industrial.es,LIDAR Libeccio,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Libeccio_2,windcubeinsights@vaisala.info,WLS72090,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LJU5,emailrelay@konectgds.com,LJU5,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LJU6,emailrelay@konectgds.com,LJU6,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Los Aguilillos,emailrelay@konectgds.com,AGUILILLOS,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LUUR-A,windcubeinsights@vaisala.info,WLS72029,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Magallanes-1,emailrelay@konectgds.com,MAGALLANES-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magallanes-2,emailrelay@konectgds.com,MAGALLANES-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melroeira_Lidar_1,windcubeinsights@vaisala.info,WLS71488,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Melroeira_Lidar_1/Estremoz,emailrelay@konectgds.com,LIDAR Estremoz,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montecabeza2_Pos1,windcubeinsights@vaisala.info,WLS71630,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MU1P-C,windcubeinsights@vaisala.info,WLS72060,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MUEL,emailrelay@konectgds.com,MUEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naillat,windcubeinsights@vaisala.info,WLS72184,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Olmedilla,windcubeinsights@vaisala.info,WLS71497,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Orliac,windcubeinsights@vaisala.info,WLS72107,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PEOR-A,windcubeinsights@vaisala.info,WLS72070,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peregiles I,windcubeinsights@vaisala.info,WLS71604,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
Porqueros,emailrelay@konectgds.com,NADARA_PORQUEROS,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Potrillo,windcubeinsights@vaisala.info,WLS71413,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Procina,windcubeinsights@vaisala.info,WLS72185,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Punago-9,estaciones.meteo@dekra-industrial.es,LIDAR Punago-9,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
Punago-9_2,emailrelay@konectgds.com,WLS71502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punta del viento 1 : mag 1,emailrelay@konectgds.com,Punta_del_Viento-1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
Ralea III,windcubeinsights@vaisala.info,WLS71631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVA-A,windcubeinsights@vaisala.info,WLS72024,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rochefort,emailrelay@konectgds.com,Rochefort-Montjoyer,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saint-Vincent-Jalmoutiers,windcubeinsights@vaisala.info,WLS72183,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Salsola,windcubeinsights@vaisala.info,WLS72188,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
SCHMIEDEHAUSEN,windcubeinsights@vaisala.info,WLS71609,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
SerraJoni 30,windcubeinsights@vaisala.info,WLS72088,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SNA2-A,windcubeinsights@vaisala.info,WLS72067,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SNA3-A,windcubeinsights@vaisala.info,WLS72113,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Soltau,windcubeinsights@vaisala.info,WLS71629,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spartivento,windcubeinsights@vaisala.info,WLS72321,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spence1,emailrelay@konectgds.com,SPENCE1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tablado-TP_a,windcubeinsights@vaisala.info,WLS72115,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TM Olmillos_1,estaciones.meteo@dekra-industrial.es,Olmillos_1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tort,emailrelay@konectgds.com,Tortoles Esqueva,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URKP-A,windcubeinsights@vaisala.info,WLS72216,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Valle_de_Navarra_Lidar_2A,emailrelay@konectgds.com,LIDAR Valle_Navarra-2A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valle de Navarra 2A,windcubeinsights@vaisala.info ,WLS71494 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa de Pouca-10,windcubeinsights@vaisala.info,WLS71518,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Villalube 6B,windcubeinsights@vaisala.info,WLS71499,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Villalube_Lidar_6A_2,LIDAR Villalube-6A,LIDAR Villalube-6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLS71627,windcubeinsights@vaisala.info,WLS71627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLS7-254; Dekra,windcubeinsights@vaisala.info-254,WLS7-254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zagrodno,windcubeinsights@vaisala.info,WLS72266,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zarzón,windcubeinsights@vaisala.info,WLS71446,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zx300 Unit 1148; Almazán 4B,status@support.zxlidars.com,1148,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zx300 Unit 1171; VilaPouca 15,status@support.zxlidars.com,1171,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zx300 Unit 1189; Ayora 1,status@support.zxlidars.com,1189,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zx300 Unit 1198; Villalube 7,status@support.zxlidars.com,1198,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zx300 Unit 1611; BetaWind,status@support.zxlidars.com,1611,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
